"Sr. No.",CITY1,CITY2,"PASSENGERS TO CITY2","PASSENGERS FROM CITY2",TOTAL
336,HYDERABAD,KOZHIKODE,23498,23517,47015
337,Goa,JAIPUR,24293,22687,46980
338,AMRITSAR,DABOLIM,22190,24720,46910
339,BELGAUM,MUMBAI,23326,23543,46869
340,KOCHI,TRIVANDRUM,23188,23185,46373
341,AHMEDABAD,RAIPUR,23552,22596,46148
342,TIRUPATI,VISAKHAPATNAM,21858,23718,45576
343,HYDERABAD,KANNUR,22101,22940,45041
344,AHMEDABAD,RANCHI,22337,22563,44900
345,DABOLIM,RAIPUR,21736,23145,44881
346,AIZAWL,DELHI,22073,22585,44658
347,VIJAYAWADA,VISAKHAPATNAM,22182,22129,44311
348,CHENNAI,KANNUR,23184,21048,44232
349,LUCKNOW,NAGPUR,23229,20853,44082
350,MUMBAI,GWALIOR,21752,22043,43795
351,KOCHI,KANNUR,21134,22563,43697
352,AHMEDABAD,BHOPAL,21033,22424,43457
353,BHUBANESWAR,JAIPUR,20840,22613,43453
354,DELHI,HUBLI,21857,21564,43421
355,ALLAHABAD,RAIPUR,21782,21067,42849
356,ALLAHABAD,PUNE,21321,21390,42711
357,JAIPUR,UDAIPUR,21770,20680,42450
358,AGATTI ISLAND,KOCHI,18935,22950,41885
359,BENGALURU,TUTICORIN,21472,19819,41291
360,CHENNAI,HUBLI,20058,21116,41174
361,BHAVNAGAR,MUMBAI,20006,21144,41150
362,JABALPUR,PUNE,20504,20573,41077
363,KANNUR,TRIVANDRUM,19752,20916,40668
364,BHUBANESWAR,VARANASI,19769,20815,40584
365,HUBLI,HYDERABAD,20714,19716,40430
366,KOLHAPUR,TIRUPATI,17801,22553,40354
367,Goa,CHANDIGARH,20306,20047,40353
368,MUMBAI,DIU,19585,20407,39992
369,DELHI,SILCHAR,19842,20080,39922
370,JHARSUGUDA,KOLKATA,20559,18848,39407
371,BHUBANESWAR,RAIPUR,19685,19129,38814
372,DELHI,KANPUR,19487,19138,38625
373,ALLAHABAD,BHUBANESWAR,18482,20100,38582
374,INDORE,JABALPUR,18895,19686,38581
375,INDORE,JAMMU,19330,18414,37744
376,BENGALURU,SRINAGAR,17916,19797,37713
377,KOLKATA,SHILLONG,20442,16700,37142
378,AMRITSAR,LUCKNOW,18945,17979,36924
379,Goa,AHMEDABAD,17543,19378,36921
380,AGRA,MUMBAI,18336,18180,36516
381,KOLKATA,SRINAGAR,18107,18242,36349
382,CHANDIGARH,LEH,14910,21403,36313
383,BHOPAL,RAIPUR,17911,18055,35966
384,ALLAHABAD,INDORE,18917,17030,35947
385,BAGDOGRA,GUWAHATI,32047,3598,35645
386,MUMBAI,PORT BLAIR,18787,16619,35406
387,AGARTALA,IMPHAL,14798,19388,34186
388,LUCKNOW,RAIPUR,17327,16388,33715
389,HYDERABAD,Cuddapah,16658,16894,33552
390,DehraDun,PUNE,17635,15886,33521
391,MUMBAI,Malvan,17010,16487,33497
392,ALLAHABAD,DehraDun,16313,16928,33241
393,AHMEDABAD,JODHPUR,16966,15705,32671
394,DIMAPUR,GUWAHATI,17571,14443,32014
395,JODHPUR,KOLKATA,16627,15296,31923
396,KOLKATA,RUPSI,15563,15919,31482
397,DELHI,KANNUR,15500,15540,31040
398,BHUBANESWAR,JHARSUGUDA,14960,15793,30753
399,TIRUPATI,VIJAYAWADA,15174,15488,30662
400,BHUJ,MUMBAI,14957,15479,30436
401,PORT BLAIR,VISAKHAPATNAM,13271,17099,30370
402,BENGALURU,PONDICHERRY,14574,15532,30106
403,BENGALURU,JABALPUR,14863,15108,29971
404,HYDERABAD,JAGDALPUR,15018,14893,29911
405,MUMBAI,JAISALMER,13702,15895,29597
406,AMRITSAR,PATNA,14667,14593,29260
407,JAGDALPUR,RAIPUR,14559,14413,28972
408,BAREILLY,DELHI,15152,13537,28689
409,BHAVNAGAR,PUNE,14468,14220,28688
410,AGARTALA,DIBRUGARH,13266,15232,28498
411,DABOLIM,RAJKOT,14629,13482,28111
412,MANGALORE,PUNE,13619,13923,27542
413,DehraDun,KOLKATA,14298,13229,27527
414,DELHI,KHAJURAHO,13645,13849,27494
415,HYDERABAD,NASIK,13604,13546,27150
416,MUMBAI,LEH,26844,10,26854
417,Goa,PUNE,13931,12810,26741
418,BIKANER,DELHI,12995,13743,26738
419, Itanagar,KOLKATA,12287,14449,26736
420,DELHI,KANDLA,14150,12110,26260
421,AGARTALA,CHENNAI,15146,10936,26082
422,DABOLIM,MYSORE,12581,13311,25892
423,DELHI,JORHAT,12634,12947,25581
424,DIBRUGARH,IMPHAL,12669,12851,25520
425,DIMAPUR,IMPHAL,13711,11648,25359
426,BENGALURU,GORAKHPUR,11738,13503,25241
427,AHMEDABAD,JAMMU,12798,12276,25074
428,GUWAHATI,JORHAT,11559,13301,24860
429,HYDERABAD,JHARSUGUDA,12190,11783,23973
430,KOLKATA,LILABARI,11344,12538,23882
431,BHUBANESWAR,RANCHI,11192,12634,23826
432,CHANDIGARH,GUWAHATI,12514,11157,23671
433,BENGALURU,JHARSUGUDA,11124,12472,23596
434,ALLAHABAD,LUCKNOW,11637,11673,23310
435,AHMEDABAD,COIMBATORE,12266,10560,22826
436,DELHI,TIRUCHIRAPALLY,12841,9901,22742
437,PUNE,TIRUPATI,11394,11234,22628
438,DELHI,Kushinagar,11342,11204,22546
439,CHANDIGARH,DHARAMSALA,10268,12275,22543
440,INDORE,JODHPUR,11291,10706,21997
441,Goa,CHENNAI,10295,10678,20973
442,Goa,NAGPUR,10040,10880,20920
443,ALLAHABAD,GORAKHPUR,12057,8457,20514
444,CHENNAI,DehraDun,10368,10132,20500
445,BENGALURU,DIMAPUR,11740,8640,20380
446,AHMEDABAD,BELGAUM,10026,10323,20349
447,MUMBAI,SURAT,9932,10090,20022
448,GWALIOR,HYDERABAD,9708,9944,19652
449,KOCHI,DABOLIM,9359,10226,19585
450,GWALIOR,INDORE,9201,9643,18844
451,CHENNAI,VADODARA,9258,9132,18390
452,ALLAHABAD,BHOPAL,8883,9440,18323
453,Kishangarh,DELHI,8711,8874,17585
454,GUWAHATI,RUPSI,8925,8493,17418
455,BENGALURU,JAMMU,9095,8261,17356
456,IMPHAL,SHILLONG,8790,8339,17129
457,CHENNAI,DIBRUGARH,8749,8378,17127
458,AMRITSAR,JAIPUR,8341,8566,16907
459,GUWAHATI,TEZU,7798,9086,16884
460,BENGALURU,IMPHAL,9179,7596,16775
461,Deoghar ,KOLKATA,8667,8050,16717
462,LUCKNOW,SRINAGAR,7641,9021,16662
463,GWALIOR,KOLKATA,8375,7601,15976
464,DehraDun,VARANASI,7944,7783,15727
465,PUNE,VISAKHAPATNAM,7820,7878,15698
466,MUMBAI,IMPHAL,7479,8023,15502
467,Kishangarh,HYDERABAD,7510,7982,15492
468,BENGALURU,KOLHAPUR,7908,7470,15378
469,CHANDIGARH,INDORE,7292,7937,15229
470,GORAKHPUR,LUCKNOW,8592,6598,15190
471,AHMEDABAD,KOLHAPUR,8174,6895,15069
472,AGARTALA,SHILLONG,8123,6945,15068
473,AGRA,AHMEDABAD,7457,7460,14917
474,MUMBAI,PORBANDAR,8113,6715,14828
475,BHOPAL,KOCHI,7139,7682,14821
476,KURNOOL,VISAKHAPATNAM,7349,7359,14708
477,SHIRDI,TIRUPATI,7265,7346,14611
478,AHMEDABAD,BHUJ,7316,7235,14551
479,AIZAWL,IMPHAL,7345,7147,14492
480,AHMEDABAD,NASIK,7308,6946,14254
481,MADURAI,TIRUPATI,7460,6591,14051
482,BENGALURU,JORHAT,7311,6724,14035
483,BHUBANESWAR,LUCKNOW,7994,5960,13954
484,GHAZIABAD,HUBLI,6919,6741,13660
485,JAIPUR,VARANASI,6981,6449,13430
486,KOLKATA,UDAIPUR,6910,6434,13344
487,AGARTALA,AIZAWL,6949,6160,13109
488,BHUBANESWAR,CHANDIGARH,6763,6262,13025
489,BENGALURU,VIDYANAGAR,6311,6701,13012
490,DehraDun,PANTNAGAR,6360,6582,12942
491,KOCHI,MYSORE,6533,6305,12838
492,RAJAHMUNDRY,VISAKHAPATNAM,6777,5866,12643
493,NASIK,PUNE,6161,6095,12256
494,IMPHAL,SILCHAR,6120,5813,11933
495,DELHI,KULLU,8099,3774,11873
496,AGRA,LUCKNOW,5605,6197,11802
497,LUCKNOW,PANTNAGAR,6088,5668,11756
498,HUBLI,MANGALORE,6425,5249,11674
499,BHOPAL,PUNE,6120,5394,11514
500,AHMEDABAD,GWALIOR,5599,5847,11446
501,HYDERABAD,JAMNAGAR,5963,5467,11430
502,CHENNAI,SRINAGAR,5941,5402,11343
503,COIMBATORE,SURAT,6028,5297,11325
504,BENGALURU,KURNOOL,4879,6440,11319
505,JAIPUR,PATNA,5440,5863,11303
506,KOLKATA,TRIVANDRUM,6112,5182,11294
507,COIMBATORE,JAIPUR,6542,4694,11236
508,BENGALURU,JAMNAGAR,5555,5468,11023
509,CHENNAI,KURNOOL,5459,5528,10987
510,BELGAUM,PUNE,5502,5417,10919
511,GUWAHATI,PASIGHAT,5464,5320,10784
512,DELHI,PAKYONG,5760,4914,10674
513,AIZAWL,SHILLONG,5471,5200,10671
514,ALLAHABAD,BILASPUR,5564,5057,10621
515,HYDERABAD,VIDYANAGAR,5290,5326,10616
516,Cuddapah,VISAKHAPATNAM,5147,5439,10586
517,BELGAUM,JODHPUR,5243,4904,10147
518,AHMEDABAD,GUWAHATI,5082,4927,10009
519,JHARSUGUDA,RAIPUR,5684,4223,9907
520,GUWAHATI,VARANASI,4901,5003,9904
521,BENGALURU,BIDAR ,4701,5189,9890
522,BHOPAL,CHENNAI,4511,5362,9873
523,RAIPUR,SRINAGAR,4889,4914,9803
524,JAIPUR,JAISALMER,5064,4655,9719
525,AHMEDABAD,VISAKHAPATNAM,5537,3986,9523
526,BILASPUR,DELHI,4705,4761,9466
527,CHENNAI,Cuddapah,4115,5333,9448
528,MUMBAI,DIBRUGARH,5443,3918,9361
529,BELGAUM,SURAT,4823,4474,9297
530,COIMBATORE,GUWAHATI,5887,3347,9234
531,Kishangarh,SURAT,4372,4860,9232
532,Gondia ,INDORE,4636,4415,9051
533,BILASPUR,JABALPUR,3988,4949,8937
534,AHMEDABAD,UDAIPUR,4390,4483,8873
535,DELHI,SIMLA,5262,3577,8839
536,SHILLONG,SILCHAR,3845,4936,8781
537,BELGAUM,INDORE,4469,4300,8769
538,DHARAMSALA,JAIPUR,3483,5234,8717
539,AGARTALA,AHMEDABAD,3822,4631,8453
540,Kishangarh,MUMBAI,4100,4282,8382
541,BENGALURU,MYSORE,2883,5460,8343
